pt_col1,pt_col2
Gastritis,Gastritis
Gastritis alcoholic,Gastritis alcoholic
Gastritis alcoholic haemorrhagic,Gastritis alcoholic haemorrhagic
Gastritis erosive,Gastritis erosive
Gastritis haemorrhagic,Gastritis haemorrhagic
Gastritis hypertrophic,Gastritis hypertrophic
Gastroenterostomy,Gastroenterostomy
Gastrointestinal fistula,Gastrointestinal fistula
Gastrooesophageal reflux disease,Gastrooesophageal reflux disease
Gastroduodenal ulcer,Gastroduodenal ulcer
Gastroenteritis,Gastroenteritis
Gastroenteritis adenovirus,Gastroenteritis adenovirus
Gastroenteritis aerobacter,Gastroenteritis aerobacter
Gastroenteritis aeromonas,Gastroenteritis aeromonas
Gastroenteritis astroviral,Gastroenteritis astroviral
Gastroenteritis bacillus,Gastroenteritis bacillus
Gastroenteritis clostridial,Gastroenteritis clostridial
Gastroenteritis cryptosporidial,Gastroenteritis cryptosporidial
Gastroenteritis enteroviral,Gastroenteritis enteroviral
Gastroenteritis eosinophilic,Gastroenteritis eosinophilic
Gastroenteritis Escherichia coli,Gastroenteritis Escherichia coli
Gastroenteritis paracolon bacillus,Gastroenteritis paracolon bacillus
Gastroenteritis proteus,Gastroenteritis proteus
Gastroenteritis pseudomonas,Gastroenteritis pseudomonas
Gastroenteritis radiation,Gastroenteritis radiation
Gastroenteritis rotavirus,Gastroenteritis rotavirus
Gastroenteritis salmonella,Gastroenteritis salmonella
Gastroenteritis shigella,Gastroenteritis shigella
Gastroenteritis staphylococcal,Gastroenteritis staphylococcal
Gastroenteritis vibrio,Gastroenteritis vibrio
Gastroenteritis viral,Gastroenteritis viral
Gastroenteritis yersinia,Gastroenteritis yersinia
Gastrointestinal angiodysplasia,Gastrointestinal angiodysplasia
Gastrointestinal anthrax,Gastrointestinal anthrax
Gastrointestinal arteriovenous malformation,Gastrointestinal arteriovenous malformation
Gastrointestinal candidiasis,Gastrointestinal candidiasis
Gastrointestinal carcinoma,Gastrointestinal carcinoma
Gastrointestinal disorder,Gastrointestinal disorder
Gastrointestinal gangrene,Gastrointestinal gangrene
Gastrointestinal haemorrhage,Gastrointestinal haemorrhage
Gastrointestinal infection,Gastrointestinal infection
Gastrointestinal lymphoma,Gastrointestinal lymphoma
Gastrointestinal mucocoele,Gastrointestinal mucocoele
Gastrointestinal mucosal necrosis,Gastrointestinal mucosal necrosis
Gastrointestinal necrosis,Gastrointestinal necrosis
Gastrointestinal pain,Gastrointestinal pain
Gastrointestinal perforation,Gastrointestinal perforation
Gastrointestinal stenosis,Gastrointestinal stenosis
Gastrointestinal tract mucosal discolouration,Gastrointestinal tract mucosal discolouration
Gastroparesis postoperative,Gastroparesis postoperative
Gastroptosis,Gastroptosis
Gastroschisis,Gastroschisis
Gaucher's disease,Gaucher's disease
General anaesthesia,General anaesthesia
Generalised anxiety disorder,Generalised anxiety disorder
Generalised oedema,Generalised oedema
Generalised resistance to thyroid hormone,Generalised resistance to thyroid hormone
Generalised tonic-clonic seizure,Generalised tonic-clonic seizure
Genetic counselling,Genetic counselling
Geniculate ganglionitis,Geniculate ganglionitis
Genital candidiasis,Genital candidiasis
Genital herpes,Genital herpes
Genital leukoplakia,Genital leukoplakia
Genital neoplasm malignant female,Genital neoplasm malignant female
Genital prolapse,Genital prolapse
Genital rash,Genital rash
Genital ulceration,Genital ulceration
Genitalia external ambiguous,Genitalia external ambiguous
Genitourinary chlamydia infection,Genitourinary chlamydia infection
Gestational diabetes,Gestational diabetes
Giant cell arteritis,Giant cell arteritis
Giant cell epulis,Giant cell epulis
Giant cell tumour of tendon sheath,Giant cell tumour of tendon sheath
Giant papillary conjunctivitis,Giant papillary conjunctivitis
Giardiasis,Giardiasis
Gigantism,Gigantism
Gilbert's syndrome,Gilbert's syndrome
Gingival atrophy,Gingival atrophy
Gingival bleeding,Gingival bleeding
Gingival discolouration,Gingival discolouration
Gingival disorder,Gingival disorder
Gingival erosion,Gingival erosion
Gingival hypertrophy,Gingival hypertrophy
Gingival hypoplasia,Gingival hypoplasia
Gingival pain,Gingival pain
Gingival polyp,Gingival polyp
Gingival recession,Gingival recession
Gingival swelling,Gingival swelling
Gingivitis,Gingivitis
Gingivitis ulcerative,Gingivitis ulcerative
Glaucoma,Glaucoma
Glaucoma traumatic,Glaucoma traumatic
Glaucomatocyclitic crises,Glaucomatocyclitic crises
Glioblastoma,Glioblastoma
Glioblastoma multiforme,Glioblastoma multiforme
Glioma,Glioma
Gliosarcoma,Gliosarcoma
Gliosis,Gliosis
Globulin,Globulin
Globulins increased,Globulins increased
Globulinuria,Globulinuria
Glomerular filtration rate,Glomerular filtration rate
Glomerular filtration rate abnormal,Glomerular filtration rate abnormal
Glomerular filtration rate decreased,Glomerular filtration rate decreased
Glomerular filtration rate increased,Glomerular filtration rate increased
Glomerular filtration rate normal,Glomerular filtration rate normal
Glomerular vascular disorder,Glomerular vascular disorder
Glomerulonephritis,Glomerulonephritis
Glomerulonephritis acute,Glomerulonephritis acute
Glomerulonephritis chronic,Glomerulonephritis chronic
Glomerulonephritis membranoproliferative,Glomerulonephritis membranoproliferative
Glomerulonephritis membranous,Glomerulonephritis membranous
Glomerulonephritis minimal lesion,Glomerulonephritis minimal lesion
Glomerulonephritis proliferative,Glomerulonephritis proliferative
Glomerulonephritis rapidly progressive,Glomerulonephritis rapidly progressive
Glomus tumour,Glomus tumour
Glossectomy,Glossectomy
Glossitis,Glossitis
Glossodynia,Glossodynia
Glossopharyngeal neuralgia,Glossopharyngeal neuralgia
Glottis carcinoma,Glottis carcinoma
Glucagonoma,Glucagonoma
Glucocorticoids increased,Glucocorticoids increased
Glucocorticoids normal,Glucocorticoids normal
Glucose tolerance decreased,Glucose tolerance decreased
Glucose tolerance impaired,Glucose tolerance impaired
Glucose tolerance impaired in pregnancy,Glucose tolerance impaired in pregnancy
Glucose tolerance increased,Glucose tolerance increased
Glucose tolerance test,Glucose tolerance test
Glucose tolerance test abnormal,Glucose tolerance test abnormal
Glucose tolerance test normal,Glucose tolerance test normal
Glucose urine,Glucose urine
Glucose-6-phosphate dehydrogenase deficiency,Glucose-6-phosphate dehydrogenase deficiency
Gluten free diet,Gluten free diet
Glycogen storage disease type V,Glycogen storage disease type V
Glycogen storage disease type I,Glycogen storage disease type I
Glycolysis increased,Glycolysis increased
Glycosuria,Glycosuria
Glucose urine absent,Glucose urine absent
Glycosuria during pregnancy,Glycosuria during pregnancy
Glucose urine present,Glucose urine present
Glycosylated haemoglobin,Glycosylated haemoglobin
Glycosylated haemoglobin abnormal,Glycosylated haemoglobin abnormal
Glycosylated haemoglobin decreased,Glycosylated haemoglobin decreased
Glycosylated haemoglobin increased,Glycosylated haemoglobin increased
Glycosylated haemoglobin normal,Glycosylated haemoglobin normal
Gnathostomiasis,Gnathostomiasis
Goitre,Goitre
Goitre congenital,Goitre congenital
Gonadal dysgenesis,Gonadal dysgenesis
Gonadotrophin deficiency,Gonadotrophin deficiency
Gonadotrophin releasing hormone stimulation test,Gonadotrophin releasing hormone stimulation test
Gonioscopy,Gonioscopy
Gonioscopy abnormal,Gonioscopy abnormal
Gonioscopy normal,Gonioscopy normal
Gonorrhoea,Gonorrhoea
Goodpasture's syndrome,Goodpasture's syndrome
Gout,Gout
Gouty arthritis,Gouty arthritis
Gouty tophus,Gouty tophus
Graft versus host disease,Graft versus host disease
Gram stain,Gram stain
Gram stain negative,Gram stain negative
Gram stain positive,Gram stain positive
Grandiosity,Grandiosity
Granulocyte count,Granulocyte count
Granulocyte count decreased,Granulocyte count decreased
Granulocyte count increased,Granulocyte count increased
Granulocytes abnormal,Granulocytes abnormal
Granulocytopenia,Granulocytopenia
Granulocytopenia neonatal,Granulocytopenia neonatal
Granulocytosis,Granulocytosis
Granuloma,Granuloma
Granuloma annulare,Granuloma annulare
Granuloma inguinale,Granuloma inguinale
Granuloma skin,Granuloma skin
Granulomatous liver disease,Granulomatous liver disease
Gravitational oedema,Gravitational oedema
Greenstick fracture,Greenstick fracture
Grey syndrome neonatal,Grey syndrome neonatal
Grief reaction,Grief reaction
Groin pain,Groin pain
Groin sinus excision,Groin sinus excision
Growing pains,Growing pains
Growth accelerated,Growth accelerated
Growth hormone-producing pituitary tumour,Growth hormone-producing pituitary tumour
Grunting,Grunting
Guillain-Barre syndrome,Guillain-Barre syndrome
Gun shot wound,Gun shot wound
Guttate psoriasis,Guttate psoriasis
Gynaecomastia,Gynaecomastia
Haemangioblastoma,Haemangioblastoma
Haemangioma,Haemangioma
Haemangioma congenital,Haemangioma congenital
Haemangioma of breast,Haemangioma of breast
Haemangioma of liver,Haemangioma of liver
Haemangioma of retina,Haemangioma of retina
Haemangioma of skin,Haemangioma of skin
Haemangiopericytoma,Haemangiopericytoma
Haemangiopericytoma of meninges,Haemangiopericytoma of meninges
Haemarthrosis,Haemarthrosis
Haematemesis,Haematemesis
Haematocoele,Haematocoele
Haematochezia,Haematochezia
Haematocrit,Haematocrit
Haematocrit decreased,Haematocrit decreased
Haematocrit increased,Haematocrit increased
Haematocrit normal,Haematocrit normal
Haematoma,Haematoma
Haematospermia,Haematospermia
Haematuria,Haematuria
Blood urine absent,Blood urine absent
Blood urine present,Blood urine present
Haematuria traumatic,Haematuria traumatic
Haemochromatosis,Haemochromatosis
Haemoconcentration,Haemoconcentration
Haemodialysis,Haemodialysis
Haemoglobin,Haemoglobin
Haemoglobin A absent,Haemoglobin A absent
Haemoglobin A present,Haemoglobin A present
Haemoglobin abnormal,Haemoglobin abnormal
Haemoglobin Barts absent,Haemoglobin Barts absent
Haemoglobin Barts present,Haemoglobin Barts present
Haemoglobin C disease,Haemoglobin C disease
Haemoglobin decreased,Haemoglobin decreased
Haemoglobin electrophoresis abnormal,Haemoglobin electrophoresis abnormal
Haemoglobin electrophoresis normal,Haemoglobin electrophoresis normal
Haemoglobin increased,Haemoglobin increased
Haemoglobin normal,Haemoglobin normal
Haemoglobin S decreased,Haemoglobin S decreased
Haemoglobin S increased,Haemoglobin S increased
Haemoglobin S normal,Haemoglobin S normal
Haemoglobinaemia,Haemoglobinaemia
Haemoglobinuria,Haemoglobinuria
Haemoglobin urine absent,Haemoglobin urine absent
Haemoglobin urine present,Haemoglobin urine present
Haemolysis,Haemolysis
Haemolytic anaemia,Haemolytic anaemia
Haemolytic anaemia enzyme specific,Haemolytic anaemia enzyme specific
Haemolytic uraemic syndrome,Haemolytic uraemic syndrome
Haemoperitoneum,Haemoperitoneum
Haemoptysis,Haemoptysis
Haemorrhage in pregnancy,Haemorrhage in pregnancy
Haemorrhage intracranial,Haemorrhage intracranial
Haemorrhage subcutaneous,Haemorrhage subcutaneous
Haemorrhage subepidermal,Haemorrhage subepidermal
Haemorrhagic cerebral infarction,Haemorrhagic cerebral infarction
Haemorrhagic disease of newborn,Haemorrhagic disease of newborn
Haemorrhagic disorder,Haemorrhagic disorder
Haemorrhagic infarction,Haemorrhagic infarction
Haemorrhagic stroke,Haemorrhagic stroke
Haemorrhoids,Haemorrhoids
Haemorrhoids thrombosed,Haemorrhoids thrombosed
Haemosiderosis,Haemosiderosis
Haemothorax,Haemothorax
Hair colour changes,Hair colour changes
Hair disorder,Hair disorder
Hair follicle tumour benign,Hair follicle tumour benign
Hair growth abnormal,Hair growth abnormal
Hair texture abnormal,Hair texture abnormal
Hair transplant,Hair transplant
Hairy cell leukaemia,Hairy cell leukaemia
Hallucination,Hallucination
"Hallucination, auditory","Hallucination, auditory"
"Hallucination, gustatory","Hallucination, gustatory"
"Hallucination, olfactory","Hallucination, olfactory"
"Hallucination, tactile","Hallucination, tactile"
"Hallucination, visual","Hallucination, visual"
"Hallucinations, mixed","Hallucinations, mixed"
Halo vision,Halo vision
Halothane antibody,Halothane antibody
Halothane antibody negative,Halothane antibody negative
Halothane antibody positive,Halothane antibody positive
Hamartoma vascular,Hamartoma vascular
Hand amputation,Hand amputation
Hand-foot-and-mouth disease,Hand-foot-and-mouth disease
Hand fracture,Hand fracture
Hand repair operation,Hand repair operation
Hangover,Hangover
Hantavirus pulmonary infection,Hantavirus pulmonary infection
Haptoglobin abnormal,Haptoglobin abnormal
Haptoglobin decreased,Haptoglobin decreased
Haptoglobin increased,Haptoglobin increased
Haptoglobin normal,Haptoglobin normal
Harlequin foetus,Harlequin foetus
Hartnup disease,Hartnup disease
Head banging,Head banging
Head discomfort,Head discomfort
Head injury,Head injury
Headache,Headache
Heart block congenital,Heart block congenital
Heart disease congenital,Heart disease congenital
Heart rate,Heart rate
Heart rate abnormal,Heart rate abnormal
Heart rate decreased,Heart rate decreased
Heart rate increased,Heart rate increased
Heart rate irregular,Heart rate irregular
Heart rate normal,Heart rate normal
Heart sounds abnormal,Heart sounds abnormal
Heart sounds normal,Heart sounds normal
Heart transplant,Heart transplant
Heart transplant rejection,Heart transplant rejection
Heart valve explantation,Heart valve explantation
Heart-lung transplant rejection,Heart-lung transplant rejection
Heat cramps,Heat cramps
Heat exhaustion,Heat exhaustion
Heat oedema,Heat oedema
Heat stroke,Heat stroke
Heavy chain disease,Heavy chain disease
Heerfordt's syndrome,Heerfordt's syndrome
Heinz bodies,Heinz bodies
Hemianopia,Hemianopia
Hemianopia heteronymous,Hemianopia heteronymous
Hemianopia homonymous,Hemianopia homonymous
Hemihypertrophy,Hemihypertrophy
Hemiparesis,Hemiparesis
Hemiplegia,Hemiplegia
Hemiplegic migraine,Hemiplegic migraine
Hemivertebra,Hemivertebra
Henoch-Schonlein purpura,Henoch-Schonlein purpura
Hepaplastin abnormal,Hepaplastin abnormal
Hepaplastin decreased,Hepaplastin decreased
Hepaplastin increased,Hepaplastin increased
Hepaplastin normal,Hepaplastin normal
Hepatic adenoma,Hepatic adenoma
Hepatic arteriovenous malformation,Hepatic arteriovenous malformation
Hepatic artery aneurysm,Hepatic artery aneurysm
Hepatic artery embolism,Hepatic artery embolism
Hepatic artery thrombosis,Hepatic artery thrombosis
Hepatic atrophy,Hepatic atrophy
Hepatic cirrhosis,Hepatic cirrhosis
Hepatic cyst,Hepatic cyst
Hepatic echinococciasis,Hepatic echinococciasis
Hepatic encephalopathy,Hepatic encephalopathy
Hepatic failure,Hepatic failure
Hepatic fibrosis,Hepatic fibrosis
Hepatic function abnormal,Hepatic function abnormal
Hepatic haematoma,Hepatic haematoma
Hepatic haemorrhage,Hepatic haemorrhage
Hepatic infarction,Hepatic infarction
Hepatic necrosis,Hepatic necrosis
Hepatic neoplasm,Hepatic neoplasm
Hepatic pain,Hepatic pain
Hepatic rupture,Hepatic rupture
Hepatic steatosis,Hepatic steatosis
Hepatic vein thrombosis,Hepatic vein thrombosis
Hepatitis,Hepatitis
Hepatitis A,Hepatitis A
Hepatitis A antibody,Hepatitis A antibody
Hepatitis A antibody abnormal,Hepatitis A antibody abnormal
Hepatitis A antibody negative,Hepatitis A antibody negative
Hepatitis A antibody normal,Hepatitis A antibody normal
Hepatitis A antibody positive,Hepatitis A antibody positive
Hepatitis acute,Hepatitis acute
Hepatitis alcoholic,Hepatitis alcoholic
Hepatitis B,Hepatitis B
Hepatitis B antibody,Hepatitis B antibody
Hepatitis B antibody abnormal,Hepatitis B antibody abnormal
Hepatitis B antibody negative,Hepatitis B antibody negative
Hepatitis B antibody normal,Hepatitis B antibody normal
Hepatitis B antibody positive,Hepatitis B antibody positive
Hepatitis B surface antigen positive,Hepatitis B surface antigen positive
Hepatitis C,Hepatitis C
Hepatitis C antibody,Hepatitis C antibody
Hepatitis C antibody negative,Hepatitis C antibody negative
Hepatitis C antibody positive,Hepatitis C antibody positive
Hepatitis C RNA,Hepatitis C RNA
Hepatitis C RNA negative,Hepatitis C RNA negative
Hepatitis C RNA positive,Hepatitis C RNA positive
Hepatitis cholestatic,Hepatitis cholestatic
Hepatitis chronic active,Hepatitis chronic active
Hepatitis chronic persistent,Hepatitis chronic persistent
Hepatitis D,Hepatitis D
Hepatitis E,Hepatitis E
Hepatitis F,Hepatitis F
Hepatitis fulminant,Hepatitis fulminant
Hepatitis G,Hepatitis G
Hepatitis H,Hepatitis H
Hepatitis infectious mononucleosis,Hepatitis infectious mononucleosis
Hepatitis mumps,Hepatitis mumps
Hepatitis neonatal,Hepatitis neonatal
Hepatitis non-A non-B,Hepatitis non-A non-B
Hepatitis non-A non-B non-C,Hepatitis non-A non-B non-C
Hepatitis post transfusion,Hepatitis post transfusion
Hepatitis syphilitic,Hepatitis syphilitic
Hepatitis toxic,Hepatitis toxic
Hepatitis toxoplasmal,Hepatitis toxoplasmal
Hepatitis viral,Hepatitis viral
Hepato-lenticular degeneration,Hepato-lenticular degeneration
Hepatoblastoma recurrent,Hepatoblastoma recurrent
Hepatocellular damage neonatal,Hepatocellular damage neonatal
Hepatocellular injury,Hepatocellular injury
Hepatomegaly,Hepatomegaly
Hepatorenal failure,Hepatorenal failure
Hepatorenal syndrome,Hepatorenal syndrome
Hepatosplenomegaly,Hepatosplenomegaly
Hepatosplenomegaly neonatal,Hepatosplenomegaly neonatal
Hepatotoxicity,Hepatotoxicity
Hereditary angioedema,Hereditary angioedema
Hereditary choroidal dystrophy,Hereditary choroidal dystrophy
Hereditary fructose intolerance,Hereditary fructose intolerance
Hereditary haemorrhagic telangiectasia,Hereditary haemorrhagic telangiectasia
Hereditary neuropathic amyloidosis,Hereditary neuropathic amyloidosis
Hereditary optic atrophy,Hereditary optic atrophy
Hereditary retinal dystrophy,Hereditary retinal dystrophy
Hereditary sideroblastic anaemia,Hereditary sideroblastic anaemia
Hereditary spastic paraplegia,Hereditary spastic paraplegia
Hereditary spherocytosis,Hereditary spherocytosis
Hermaphroditism,Hermaphroditism
Hernia,Hernia
Hernia congenital,Hernia congenital
Hernia diaphragmatic repair,Hernia diaphragmatic repair
Hernia hiatus repair,Hernia hiatus repair
Herpangina,Herpangina
Herpes gestationis,Herpes gestationis
Herpes simplex,Herpes simplex
Congenital herpes simplex infection,Congenital herpes simplex infection
Herpes simplex encephalitis,Herpes simplex encephalitis
Herpes simplex meningitis,Herpes simplex meningitis
Herpes simplex otitis externa,Herpes simplex otitis externa
Herpes simplex visceral,Herpes simplex visceral
Herpes virus infection,Herpes virus infection
Herpes zoster,Herpes zoster
Heterophoria,Heterophoria
Heterophyiasis,Heterophyiasis
Heterosexuality,Heterosexuality
Hexokinase deficiency anaemia,Hexokinase deficiency anaemia
Hiatus hernia,Hiatus hernia
Hiccups,Hiccups
Hidradenitis,Hidradenitis
High arched palate,High arched palate
High density lipoprotein,High density lipoprotein
High density lipoprotein abnormal,High density lipoprotein abnormal
High density lipoprotein decreased,High density lipoprotein decreased
High density lipoprotein increased,High density lipoprotein increased
High density lipoprotein normal,High density lipoprotein normal
High foetal head,High foetal head
High grade B-cell lymphoma Burkitt-like lymphoma,High grade B-cell lymphoma Burkitt-like lymphoma
High grade B-cell lymphoma Burkitt-like lymphoma recurrent,High grade B-cell lymphoma Burkitt-like lymphoma recurrent
High grade B-cell lymphoma Burkitt-like lymphoma refractory,High grade B-cell lymphoma Burkitt-like lymphoma refractory
High grade B-cell lymphoma Burkitt-like lymphoma stage I,High grade B-cell lymphoma Burkitt-like lymphoma stage I
High grade B-cell lymphoma Burkitt-like lymphoma stage II,High grade B-cell lymphoma Burkitt-like lymphoma stage II
High grade B-cell lymphoma Burkitt-like lymphoma stage III,High grade B-cell lymphoma Burkitt-like lymphoma stage III
High grade B-cell lymphoma Burkitt-like lymphoma stage IV,High grade B-cell lymphoma Burkitt-like lymphoma stage IV
High risk sexual behaviour,High risk sexual behaviour
Hilar lymphadenopathy,Hilar lymphadenopathy
Hip arthroplasty,Hip arthroplasty
Hip disarticulation,Hip disarticulation
Hip fracture,Hip fracture
Hirsutism,Hirsutism
Hirudiniasis,Hirudiniasis
Histiocytosis,Histiocytosis
Histoplasmosis,Histoplasmosis
Histoplasmosis disseminated,Histoplasmosis disseminated
Histrionic personality disorder,Histrionic personality disorder
HIV carrier,HIV carrier
HIV infection,HIV infection
HIV infection CDC Group I,HIV infection CDC Group I
HIV infection CDC Group II,HIV infection CDC Group II
HIV infection CDC Group III,HIV infection CDC Group III
HIV infection CDC Group IV subgroup A,HIV infection CDC Group IV subgroup A
HIV infection CDC Group IV subgroup B,HIV infection CDC Group IV subgroup B
HIV infection CDC Group IV subgroup C1,HIV infection CDC Group IV subgroup C1
HIV infection CDC Group IV subgroup C2,HIV infection CDC Group IV subgroup C2
HIV infection CDC Group IV subgroup D,HIV infection CDC Group IV subgroup D
HIV infection CDC Group IV subgroup E,HIV infection CDC Group IV subgroup E
HIV test,HIV test
HIV test false positive,HIV test false positive
HIV test negative,HIV test negative
HIV test positive,HIV test positive
HIV-2 infection,HIV-2 infection
Hodgkin's disease,Hodgkin's disease
Hodgkin's disease lymphocyte depletion stage I site unspecified,Hodgkin's disease lymphocyte depletion stage I site unspecified
Hodgkin's disease lymphocyte depletion stage I subdiaphragm,Hodgkin's disease lymphocyte depletion stage I subdiaphragm
Hodgkin's disease lymphocyte depletion stage I supradiaphragm,Hodgkin's disease lymphocyte depletion stage I supradiaphragm
Hodgkin's disease lymphocyte depletion stage II site unspecified,Hodgkin's disease lymphocyte depletion stage II site unspecified
Hodgkin's disease lymphocyte depletion stage II subdiaphragm,Hodgkin's disease lymphocyte depletion stage II subdiaphragm
Hodgkin's disease lymphocyte depletion stage II supradiaphragm,Hodgkin's disease lymphocyte depletion stage II supradiaphragm
Hodgkin's disease lymphocyte depletion type recurrent,Hodgkin's disease lymphocyte depletion type recurrent
Hodgkin's disease lymphocyte depletion type refractory,Hodgkin's disease lymphocyte depletion type refractory
Hodgkin's disease lymphocyte depletion type stage III,Hodgkin's disease lymphocyte depletion type stage III
Hodgkin's disease lymphocyte depletion type stage IV,Hodgkin's disease lymphocyte depletion type stage IV
Hodgkin's disease lymphocyte depletion type stage unspecified,Hodgkin's disease lymphocyte depletion type stage unspecified
Hodgkin's disease lymphocyte predominance stage I site unspec,Hodgkin's disease lymphocyte predominance stage I site unspec
Hodgkin's disease lymphocyte predominance stage I subdiaphragm,Hodgkin's disease lymphocyte predominance stage I subdiaphragm
Hodgkin's disease lymphocyte predominance stage I supradiaphragm,Hodgkin's disease lymphocyte predominance stage I supradiaphragm
Hodgkin's disease lymphocyte predominance stage II site unspec,Hodgkin's disease lymphocyte predominance stage II site unspec
Hodgkin's disease lymphocyte predominance stage II subdiaphragm,Hodgkin's disease lymphocyte predominance stage II subdiaphragm
Hodgkin's disease lymphocyte predominance stage II supradiaphragm,Hodgkin's disease lymphocyte predominance stage II supradiaphragm
Hodgkin's disease lymphocyte predominance type recurrent,Hodgkin's disease lymphocyte predominance type recurrent
Hodgkin's disease lymphocyte predominance type refractory,Hodgkin's disease lymphocyte predominance type refractory
Hodgkin's disease lymphocyte predominance type stage III,Hodgkin's disease lymphocyte predominance type stage III
Hodgkin's disease lymphocyte predominance type stage IV,Hodgkin's disease lymphocyte predominance type stage IV
Hodgkin's disease lymphocyte predominance type stage unspecified,Hodgkin's disease lymphocyte predominance type stage unspecified
Hodgkin's disease mixed cellularity recurrent,Hodgkin's disease mixed cellularity recurrent
Hodgkin's disease mixed cellularity refractory,Hodgkin's disease mixed cellularity refractory
Hodgkin's disease mixed cellularity stage I site unspecified,Hodgkin's disease mixed cellularity stage I site unspecified
Hodgkin's disease mixed cellularity stage I subdiaphragmatic,Hodgkin's disease mixed cellularity stage I subdiaphragmatic
Hodgkin's disease mixed cellularity stage I supradiaphragmatic,Hodgkin's disease mixed cellularity stage I supradiaphragmatic
Hodgkin's disease mixed cellularity stage II subdiaphragmatic,Hodgkin's disease mixed cellularity stage II subdiaphragmatic
Hodgkin's disease mixed cellularity stage II supradiaphragmatic,Hodgkin's disease mixed cellularity stage II supradiaphragmatic
Hodgkin's disease mixed cellularity stage III,Hodgkin's disease mixed cellularity stage III
Hodgkin's disease mixed cellularity stage IV,Hodgkin's disease mixed cellularity stage IV
Hodgkin's disease mixed cellularity stage unspecified,Hodgkin's disease mixed cellularity stage unspecified
Hodgkin's disease nodular sclerosis,Hodgkin's disease nodular sclerosis
Hodgkin's disease nodular sclerosis recurrent,Hodgkin's disease nodular sclerosis recurrent
Hodgkin's disease nodular sclerosis refractory,Hodgkin's disease nodular sclerosis refractory
Hodgkin's disease nodular sclerosis stage III,Hodgkin's disease nodular sclerosis stage III
Hodgkin's disease nodular sclerosis stage IV,Hodgkin's disease nodular sclerosis stage IV
Hodgkin's disease recurrent,Hodgkin's disease recurrent
Hodgkin's disease refractory,Hodgkin's disease refractory
Hodgkin's disease stage I,Hodgkin's disease stage I
Hodgkin's disease stage II,Hodgkin's disease stage II
Hodgkin's disease stage III,Hodgkin's disease stage III
Hodgkin's disease unclassifiable,Hodgkin's disease unclassifiable
Holmes-Adie pupil,Holmes-Adie pupil
Holter valve insertion,Holter valve insertion
Homeless,Homeless
Homeless family,Homeless family
Homeopathy,Homeopathy
Homicide,Homicide
Homocystinuria,Homocystinuria
Homocysteine urine absent,Homocysteine urine absent
Homosexual parent,Homosexual parent
Homosexuality,Homosexuality
Hookworm infection,Hookworm infection
Hordeolum,Hordeolum
Hormone replacement therapy,Hormone replacement therapy
Hormone-secreting ovarian tumour,Hormone-secreting ovarian tumour
Horner's syndrome,Horner's syndrome
Hostility,Hostility
Human bite,Human bite
Human ehrlichiosis,Human ehrlichiosis
Human herpesvirus 6 infection,Human herpesvirus 6 infection
Human T-cell lymphotropic virus type I infection,Human T-cell lymphotropic virus type I infection
Humerus fracture,Humerus fracture
Humoral immune defect,Humoral immune defect
Hunger,Hunger
Hyalosis asteroid,Hyalosis asteroid
Hydrocele,Hydrocele
Hydrocele female,Hydrocele female
Hydrocele male infected,Hydrocele male infected
Hydrocephalus,Hydrocephalus
Hydromyelia,Hydromyelia
Hydronephrosis,Hydronephrosis
Hydronephrosis repair,Hydronephrosis repair
Hydrops foetalis,Hydrops foetalis
Hydrosalpinx,Hydrosalpinx
Hydrotherapy,Hydrotherapy
Hydroureter,Hydroureter
Hydroxycorticosteroids increased,Hydroxycorticosteroids increased
Hydroxycorticosteroids urine,Hydroxycorticosteroids urine
Hydroxycorticosteroids urine decreased,Hydroxycorticosteroids urine decreased
Hydroxycorticosteroids urine increased,Hydroxycorticosteroids urine increased
Hydroxycorticosteroids urine normal,Hydroxycorticosteroids urine normal
Hymenectomy,Hymenectomy
Hymenolepiasis,Hymenolepiasis
Hyperacusis,Hyperacusis
Hyperadrenalism,Hyperadrenalism
Hyperadrenocorticism,Hyperadrenocorticism
Hyperaemia,Hyperaemia
Hyperaesthesia,Hyperaesthesia
Hyperaldosteronism,Hyperaldosteronism
Hyperammonaemia,Hyperammonaemia
Hyperbilirubinaemia,Hyperbilirubinaemia
Hyperbilirubinaemia neonatal,Hyperbilirubinaemia neonatal
Hypercalcaemia,Hypercalcaemia
Hypercalcaemia of malignancy,Hypercalcaemia of malignancy
Hypercalcaemia therapy,Hypercalcaemia therapy
Hypercalcaemic nephropathy,Hypercalcaemic nephropathy
Hypercalciuria,Hypercalciuria
Hypercapnia,Hypercapnia
Hypercarotinaemia,Hypercarotinaemia
Hypercementosis,Hypercementosis
Hyperchloraemia,Hyperchloraemia
Hyperchlorhydria,Hyperchlorhydria
Hypercholesterolaemia,Hypercholesterolaemia
Hyperchromic anaemia,Hyperchromic anaemia
Hyperchylomicronaemia,Hyperchylomicronaemia
Hypercoagulation,Hypercoagulation
Hyperemesis gravidarum,Hyperemesis gravidarum
Hypergammaglobulinaemia,Hypergammaglobulinaemia
Hypergammaglobulinaemia benign monoclonal,Hypergammaglobulinaemia benign monoclonal
Hyperglobulinaemia,Hyperglobulinaemia
Hyperglycaemia,Hyperglycaemia
Hyperhidrosis,Hyperhidrosis
Hyperkalaemia,Hyperkalaemia
Hyperkeratosis,Hyperkeratosis
Hyperkinesia,Hyperkinesia
