MRA_term,Modified_term,State
Congenital pigmentation disorder,cgonenital pgimentatnn imsorder,NO return
Congenital pigmentation disorder,dcnogenital pigeqtatiorn disrodre,NO return
Congenital pigmentation disorder,crgenital pifgmedtantion disordye,NO return
Congenital spondylolisthesis,coygenitla sondyelolistweshs,NO return
Congenital spondylolisthesis,congejiatl spondtyorislhesis,NO return
Congenital spondylolisthesis,cctongenital spondyloifhheis,NO return
Congenital spondylolisthesis,congtnftal spondlhgolishtesis,NO return
Congenital spondylolisthesis,congneial spondylolissbsih,NO return
Congenital spondylolysis,congetal psonydxlolysis,NO return
Congenital spondylolysis,cngenita ispondylloysiw,NO return
Congenital spondylolysis,ocgenital spondlgysis,NO return
Congenital spondylolysis,congeniyl spmolndyholysis,NO return
Congenital spondylolysis,congemntial sponduylolsyi,NO return
Congenital syphilitic encephalitis,cnogenitgal spyhilitci enepklalitis,NO return
Congenital syphilitic encephalitis,colgenita sypiliptic hncephbaqitis,NO return
Congenital syphilitic encephalitis,congnntial syphilditkic encepheaits,NO return
Congenital syphilitic encephalitis,congnnqtal sdypsilitic encehplautis,NO return
Congenital syphilitic encephalitis,congnitla spyhilitiq encephtaiwis,NO return
Congenital torticollis,congbneital ortciolqlis,NO return
Congenital torticollis,ongevnital tokurtacollis,NO return
Congenital torticollis,congueniytal toruticoldi,NO return
Congenital torticollis,ongenitla torniolis,NO return
Congenital torticollis,congeinal tuoritcolis,NO return
Congenital toxoplasmosis,conxgeniatl noxoplasifsis,NO return
Congenital toxoplasmosis,pcongeniptal tsoxoilsamosis,NO return
Congenital toxoplasmosis,conghnial toxpolyasmossi,NO return
Congenital toxoplasmosis,conenitl towooplastosis,NO return
Congenital toxoplasmosis,cnogenitpal tojoplasomiss,NO return
Congenital tracheomalacia,congeaniptal traqceomtalaca,NO return
Congenital tracheomalacia,cvogenital trachqeqmzaacia,NO return
Congenital tracheomalacia,ocngenitar trcaheombxalaia,NO return
Congenital tracheomalacia,congedenital tracheuxmalafckia,NO return
Congenital tracheomalacia,cingenita tahkomlacia,NO return
Congenital tuberculosis,congenmfital tbercfulois,NO return
Congenital tuberculosis,ocngeoital tuehrculdosis,NO return
Congenital tuberculosis,congenitpla tubrculovsxs,NO return
Congenital tuberculosis,ongelnital tubutculois,NO return
Congenital tuberculosis,bongenita dueerculoiss,NO return
Congenital urinary tract obstruction,cbgenital uwrianry tact obstrdutaon,NO return
Congenital urinary tract obstruction,congneintal urigiary tractk obsrtutoin,NO return
Congenital urinary tract obstruction,congfenial rinray tact vobstlrnction,NO return
Congenital urinary tract obstruction,confenitad uinrary btract ubstucion,NO return
Congenital urinary tract obstruction,congenmitol uranry rtact sotruction,NO return
Congenital vesicoureteric reflux,congienijtal vlescioreneric drflux,NO return
Congenital vesicoureteric reflux,congentiao xvesicuoretresic rfeux,NO return
Congenital vesicoureteric reflux,congenitsa vmouscoureteric urflux,NO return
Congenital vesicoureteric reflux,cnogenitul vesccoreetrci rewulx,NO return
Congenital vesicoureteric reflux,cvongenoital vseicoolretnric rlux,NO return
Congo-Crimean haemorrhagic fever,cmngo cctimean hcaemeororhagic fevver,NO return
Congo-Crimean haemorrhagic fever,corngo pirmean hawmrorhagc fevre,NO return
Congo-Crimean haemorrhagic fever,congos crimaes hiemmrhagic efver,NO return
Congo-Crimean haemorrhagic fever,crngo rcidmean hgamorkrhagic feer,NO return
Congo-Crimean haemorrhagic fever,conog cbrimecan haemorjhoaigc fevre,NO return
Conjunctival abrasion,conmjunctivryal aeasion,NO return
Conjunctival abrasion,conjunctrhl abrsieon,NO return
Conjunctival abrasion,conjuncatl abrsaioh,NO return
Conjunctival abrasion,conjuhcativel abrission,NO return
Conjunctival abrasion,cnnijunctiva barasicon,NO return
Conjunctival adhesion,ocnjgiunctival dhfesion,NO return
Conjunctival adhesion,conjnctivle adehpsion,NO return
Conjunctival adhesion,ocnjlnctivla adhesikno,NO return
Conjunctival adhesion,aonjunctidl ahdesqion,NO return
Conjunctival adhesion,cojnuncitvad cadhseion,NO return
Conjunctival cyst,cojnotival yst,NO return
Conjunctival cyst,bonuuncival cys,NO return
Conjunctival cyst,onjumnctial cysk,NO return
Conjunctival cyst,conjuntctiavsl ycst,NO return
Conjunctival cyst,lonunctivax cyt,NO return
Conjunctival degeneration,conjjuntcuval dgernation,NO return
Conjunctival degeneration,cojnuncitial deegnreatio,NO return
Conjunctival degeneration,cknujnctiva gdenerration,NO return
Conjunctival degeneration,cowjunmtivl degeneyrafin,NO return
Conjunctival degeneration,contjecntival edbeneratio,NO return
Conjunctival deposit,conjuncdktvial tdepsoit,NO return
Conjunctival deposit,conjunctaf depyost,NO return
Conjunctival deposit,conjnuctciavl ndepoit,NO return
Conjunctival deposit,cnojunctiak deposhti,NO return
Conjunctival deposit,onujctival deposw,NO return
Conjunctival discolouration,coneunctasival disacoluraibon,NO return
Conjunctival discolouration,conjunacpval discolfrkatjon,NO return
Conjunctival discolouration,conjuncroavl dicsgoouratioun,NO return
Conjunctival discolouration,conjuncthnial idscolpomruation,NO return
Conjunctival discolouration,coznjunctviall diszoloratief,NO return
Conjunctival erosion,cozjucntval rexsion,NO return
Conjunctival erosion,conmnctval erooin,NO return
Conjunctival erosion,conjquntcval erosiobt,NO return
Conjunctival erosion,conjuncsiovau erosbvn,NO return
Conjunctival erosion,conujtival eroin,NO return
Conjunctival follicles,aconjuntial oillicles,NO return
Conjunctival follicles,cownjucntcival foylicels,NO return
Conjunctival follicles,jconujgnctival foicles,NO return
Conjunctival follicles,ccoenuunctival oflwlicles,NO return
Conjunctival follicles,covjnunctrval follicwlesj,NO return
Conjunctival granuloma,conjuctiova grknuloam,NO return
Conjunctival granuloma,cojnuctivxl granula,NO return
Conjunctival granuloma,conjuniiva bgranulnma,NO return
Conjunctival granuloma,ocnjpunctivial granulmo,NO return
Conjunctival granuloma,conjucnvtivla ganulom,NO return
Conjunctival haemorrhage,conjbunbltival bheamorrhyage,NO return
Conjunctival haemorrhage,consjucntiival ceamorrhaghe,NO return
Conjunctival haemorrhage,cnjunftivla haemrorzhaae,NO return
Conjunctival haemorrhage,concucnztival aeyorrhge,NO return
Conjunctival haemorrhage,contjuwpctival hleorrhaeg,NO return
Conjunctival irritation,ocnujncytival irirtatisn,NO return
Conjunctival irritation,conjatival irrtyation,NO return
Conjunctival irritation,ocnjunival irritatiownk,NO return
Conjunctival irritation,oynjuncival riritaton,NO return
Conjunctival irritation,cozkjuncetival iriftation,NO return
Conjunctival oedema,conjxntivla coedoma,NO return
Conjunctival oedema,conjyucnetival loedbma,NO return
Conjunctival oedema,coxnjunctivb oedear,NO return
Conjunctival oedema,conjuwncuval oezdem,NO return
Conjunctival oedema,conjvwunctivhl oedmear,NO return
Conjunctival repair,cconjungtipal erapair,NO return
Conjunctival repair,conjuncytivhav reppabr,NO return
Conjunctival repair,cnjnctiva kgrepair,NO return
Conjunctival repair,bconjunutivla eroair,NO return
Conjunctival repair,cnoxjunictival zlpair,NO return
Conjunctival scar,conujcxtival sar,NO return
Conjunctival scar,conjunxtiavnl scur,NO return
Conjunctival scar,cojuntikval sca,NO return
Conjunctival scar,onjuncyivl scalr,NO return
Conjunctival scar,ocnjujctivfl sqcar,NO return
Conjunctival ulcer,conjautival ulecr,NO return
Conjunctival ulcer,cotjuncptmval ulucer,NO return
Conjunctival ulcer,cojuncgtipal ulecr,NO return
Conjunctival ulcer,econjunecrival ufcer,NO return
Conjunctival ulcer,ncohjnuctival uler,NO return
Conjunctivitis,cnoujntivtiis,NO return
Conjunctivitis,connjunctiveiuts,NO return
Conjunctivitis,cojuntcvitsi,NO return
Conjunctivitis,conjctivltsi,NO return
Conjunctivitis,ciozjunctviti,NO return
Conjunctivitis allergic,cnjunctviiats lldergic,NO return
Conjunctivitis allergic,cojnnyuctiitis alegric,NO return
Conjunctivitis allergic,ocnjuctivtsi allreegic,NO return
Conjunctivitis allergic,ckonjndrtivitis llerxgic,NO return
Conjunctivitis allergic,cponjwuhnctikvitis ahelrgic,NO return
Conjunctivitis chlamydial,ocnjuxnctivbits chlayqdial,NO return
Conjunctivitis chlamydial,conupcjovitis chlamlydil,NO return
Conjunctivitis chlamydial,cohnjutviitis chamgdial,NO return
Conjunctivitis chlamydial,caosnjuenctivits hclmaydial,NO return
Conjunctivitis chlamydial,conunytivirs chlamyail,NO return
Conjunctivitis gonococcal neonatal,oujdnctivitsi gjpnococcal enoatal,NO return
Conjunctivitis gonococcal neonatal,connctiivtois gnoococal neonwtaal,NO return
Conjunctivitis gonococcal neonatal,ocnjbunctiivtix goioucoccal entonatal,NO return
Conjunctivitis gonococcal neonatal,ocunctivimis gonocgoccla neoqnaeal,NO return
Conjunctivitis gonococcal neonatal,cnjuctnviitis gonooccaml neeoantal,NO return
Conjunctivitis tuberculous,cohunjcitvitis tuberluos,NO return
Conjunctivitis tuberculous,cngjdnunctivitis tbeercluous,NO return
Conjunctivitis tuberculous,conjfncivitail tuebrcluouxs,NO return
Conjunctivitis tuberculous,conjnctiaisi nturercuolus,NO return
Conjunctivitis tuberculous,conjuanrimvitis tbrecuyous,NO return
Conjunctivitis viral,rcojunctiiti vira,NO return
Conjunctivitis viral,cjsncivitis virall,NO return
Conjunctivitis viral,cohndunctjvitcs iral,NO return
Conjunctivitis viral,cojinctivisi virac,NO return
Conjunctivitis viral,corjunxcqtvitis vgral,NO return
Constipation,constieatinz,NO return
Constipation,lonstaption,NO return
Constipation,chnspiation,NO return
Constipation,contiaptioen,NO return
Constipation,vonstipbnation,NO return
Constricted affect,conetricta afefcn,NO return
Constricted affect,cnostricnkd aufept,NO return
Constricted affect,cxsntrictzd aifeca,NO return
Constricted affect,coustrict fefct,NO return
Constricted affect,constryiqctec fafecj,NO return
Contact lens intolerance,cornact leni intolqhernace,NO return
Contact lens intolerance,yonstact lns iatoleenace,NO return
Contact lens intolerance,contwlact lesn ftolerace,NO return
Contact lens intolerance,clntcat elns zhnitolerance,NO return
Contact lens intolerance,cwontactp les intotewfnce,NO return
Contraception,contrceapton,NO return
Contraception,cntracedtioen,NO return
Contraception,ontiacpetion,NO return
Contraception,conywraceptin,NO return
Contraception,contrceptiwo,NO return
Contraceptive cap,conprcabptive acap,NO return
Contraceptive cap,cotrajcepttve cpa,NO return
Contraceptive cap,conracedpive ap,NO return
Contraceptive cap,conrtraceptsikve aap,NO return
Contraceptive cap,fcontriacepjtive cpa,NO return
Contraceptive diaphragm,conracepve daiphargm,NO return
Contraceptive diaphragm,confrqchptive ldiaphagm,NO return
Contraceptive diaphragm,cgtracbptive adiphragm,NO return
Contraceptive diaphragm,contraccptrv diashrag,NO return
Contraceptive diaphragm,ccntraleptve diophraogm,NO return
Contraindication to medical treatment,vontraildicatilcon to medceal tretamoent,NO return
Contraindication to medical treatment,octnraindidcaiton to deical rtaetment,NO return
Contraindication to medical treatment,contrianqitcaion to mdicalp trlatmehnt,NO return
Contraindication to medical treatment,cbontriandrcstion to medicda trzjatment,NO return
Contraindication to medical treatment,contxyaikndicatiofn to eical treatqetn,NO return
Contraindication to surgery,contzrtsindicatioh to surgrk,NO return
Contraindication to surgery,pontrandciatoin to sruger,NO return
Contraindication to surgery,contrafntidicdation to burgrey,NO return
Contraindication to surgery,cntraindaiatino to srugey,NO return
Contraindication to surgery,coyntraindaion to suyrgeyr,NO return
Contraindication to vaccination,cuonrtainmdicatizn to accinatan,NO return
Contraindication to vaccination,contfaidicntcion to vhccinaitn,NO return
Contraindication to vaccination,containidcadio to vdccunatino,NO return
Contraindication to vaccination,octraiwdilcation to vacicatioon,NO return
Contraindication to vaccination,rcopntrainhications to asccintaion,NO return
Convalescent,mconvaeesceent,NO return
Convalescent,onvalscwnt,NO return
Convalescent,omnvalescen,NO return
Convalescent,knovalesaent,NO return
Convalescent,cnyodalescent,NO return
Convulsions local,onvultsinos locav,NO return
Convulsions local,convnrsoins locl,NO return
Convulsions local,acnvulions locae,NO return
Convulsions local,consvlsionk wlocal,NO return
Convulsions local,cynuvlisons localu,NO return
Convulsive threshold lowered,convuhlsvie rteshold loreed,NO return
Coombs direct test negative,ocormbs dircret tets nsgatpve,NO return
Coombs indirect test negative,olombs indiryca est netgive,NO return
Coombs indirect test positive,coobsms icdircet temt poitiev,NO return
Coordination abnormal,coordzlnatioa nabormal,NO return
Coordination abnormal,corodidvation anomral,NO return
Coordination abnormal,coqrdinvatbon aabnlormal,NO return
Coordination abnormal,cordnatio aboral,NO return
Coordination abnormal,cordiaytion bnormalo,NO return
Coprolalia,coprlqoalia,NO return
Cor triatriatum,ocr tritpiaptum,NO return
Cor triatriatum,cro trltarimatum,NO return
Cor triatriatum,cot tritarctum,NO return
Cor triatriatum,cjor tritartaum,NO return
Cor triatriatum,caor rtiatridtm,NO return
Corneal degeneration,cornda dgeoertion,NO return
Corneal degeneration,corneta degnecrabion,NO return
Corneal degeneration,ornela degensartuon,NO return
Corneal degeneration,conraeal dgeenrtaion,NO return
Corneal degeneration,cronual qdeggneratixn,NO return
Corneal infiltrates,cbnreal inqltraes,NO return
Corneal infiltrates,cqrnal ifqiltrxtes,NO return
Corneal infiltrates,cornelu inufpltrales,NO return
Corneal infiltrates,ccorndal vnfilratse,NO return
Corneal infiltrates,corteasl ifniltrtesp,NO return
Corneal perforation,olorneal prforatnno,NO return
Corneal perforation,cneal opevfortaion,NO return
Corneal perforation,crneah prforaino,NO return
Corneal perforation,cooreal peofqratio,NO return
Corneal perforation,ocrnear perofrtaixn,NO return
Corneal pigmentation,corbeala pitgmejnation,NO return
Corneal pigmentation,dcornea pgmenattoin,NO return
Corneal pigmentation,conrela piigmnetatoin,NO return
Corneal pigmentation,ocrenal wpigpmentatino,NO return
Corneal pigmentation,morneul pixmtntaion,NO return
Corneal staphyloma,cornle stapuhylwoma,NO return
Coronary artery disease,coronjy arteur dsziease,NO return
Coronary artery occlusion,coronraa areteryn occlusni,NO return
Coronary endarterectomy,ccoronay ndarerctoym,NO return
Coronary endarterectomy,cmrnary egndarmevrelctomy,NO return
Coronary endarterectomy,fworonary endrnxerecomy,NO return
Coronary endarterectomy,corunray eidnrbterecomy,NO return
Coronary endarterectomy,corsoanry endrteertcoym,NO return
Corrected transposition of great vessels,cogrrcted transpsitigocn of greai vessl,NO return
Corrected transposition of great vessels,coructed trsnspositno of greyt evsssels,NO return
Corrected transposition of great vessels,crgrected trasnpositjcn of gret veszls,NO return
Corrected transposition of great vessels,cxorrectde rutansposibion of grear vssesl,NO return
Corrected transposition of great vessels,correcxtpd trnasostion of graet messpels,NO return
Cortisol normal,cotkrisol rormll,NO return
Costochondritis,cotsocondirwis,NO return
Costochondritis,ocostochomndliits,NO return
Costochondritis,costohcnrdfitis,NO return
Costochondritis,cosgtchondris,NO return
Costochondritis,cjtsoncjhondritis,NO return
Coxsackie endocarditis,coxsacrei eydozcarditiy,NO return
Coxsackie endocarditis,coxsahcxie eocardqtis,NO return
Coxsackie endocarditis,oxasckie endncareits,NO return
Coxsackie endocarditis,coksackde edocrdits,NO return
Coxsackie endocarditis,coxuakie enxdocayrdpitis,NO return
Coxsackie myocarditis,ocxsacfie ymfcarditsi,NO return
Coxsackie myocarditis,ocxsackiye wdmyocardtiis,NO return
Coxsackie myocarditis,cboxsckie myocaxrqidtis,NO return
Coxsackie myocarditis,coxsckihe ymoarcditis,NO return
Coxsackie myocarditis,coxskaie mocrdtis,NO return
Coxsackie pericarditis,coxsacxkue pricartis,NO return
Coxsackie pericarditis,cocxsacki pgericaridtsi,NO return
Coxsackie pericarditis,coxsaicke eprcardiits,NO return
Coxsackie pericarditis,oxseackie pericradartis,NO return
Coxsackie pericarditis,iosxackie epoxcarditis,NO return
Craniopharyngioma,aniophryngiomat,NO return
Craniopharyngioma,crandopahrcyngoima,NO return
Craniopharyngioma,cranwkpoharyfgioma,NO return
Craniopharyngioma,csraniophryrngima,NO return
Craniopharyngioma,ianiopharynoma,NO return
Cranioplasty,cqeraeioplasty,NO return
Cranioplasty,caniolpast,NO return
Cranioplasty,crnioyplsaty,NO return
Cranioplasty,rcanipolosty,NO return
Cranioplasty,canihqlasty,NO return
Craniorachischisis,cranorchicshiusis,NO return
Craniorachischisis,crvioacjhischisis,NO return
Craniorachischisis,craniorahishihs,NO return
Craniorachischisis,cnaioachiscsisis,NO return
Craniorachischisis,rcaniorachnschqgsis,NO return
Creatinine renal clearance,cretcainine reual lerance,NO return
Creatinine renal clearance normal,creatikgnine ernal clearaec norlm,NO return
Crepitations,cgeptvtions,NO return
Crepitations,crepitazakons,NO return
Crepitations,rceptatihns,NO return
Crepitations,crepitatlionje,NO return
Crepitations,crepitdatxiosn,NO return
Creutzfeldt-Jakob disease,rceuthzfelt jkob dbisense,NO return
Creutzfeldt-Jakob disease,cresmzfeltd jakobn daisese,NO return
Creutzfeldt-Jakob disease,creutfztdt jakolb biseave,NO return
Creutzfeldt-Jakob disease,creutfzfld ajkob dseasie,NO return
Creutzfeldt-Jakob disease,creutfelld akob diaese,NO return
Crossmatch incompatible,crossatcv tncomatile,NO return
Crossmatch incompatible,crobsmathc ilncmpatibl,NO return
Crossmatch incompatible,corssmatc inqcomsatibel,NO return
Crossmatch incompatible,crosstch incompztide,NO return
Crossmatch incompatible,csssmatch inocpatiple,NO return
Croup noninfectious,crouep onnihnfectioui,NO return
Croup noninfectious,roup nbonifectiuos,NO return
Croup noninfectious,crosp nongnfedctiozs,NO return
Croup noninfectious,crjup enoninfercious,NO return
Croup noninfectious,corup noinnnfeoctious,NO return
Cryoglobulinaemia,cbyogslobluinxemia,NO return
Cryoglobulinaemia,rcyoglbulinjmia,NO return
Cryoglobulinaemia,cryoglboulnieamic,NO return
Cryoglobulinaemia,chyodobulnaemia,NO return
Cryoglobulinaemia,cryoglzobulinhelmif,NO return
Cryoglobulins,crrogloblisn,NO return
Cryoglobulins,zrbfglobulins,NO return
Cryoglobulins,cyolobuilns,NO return
Cryoglobulins,oryoglobuis,NO return
Cryoglobulins,rcyogloulis,NO return
Cryoglobulins absent,crolobulin sbent,NO return
Cryoglobulins absent,ckryoglobuulinb dbent,NO return
Cryoglobulins absent,cuogloblins lsent,NO return
Cryoglobulins absent,criogloulinh asbeit,NO return
Cryoglobulins absent,cryogloeulinsef baszent,NO return
Cryoglobulins present,cyroglorbilins prrsewt,NO return
Cryoglobulins present,ocryogloubins prseeyt,NO return
Cryoglobulins present,yoglobulisn presnem,NO return
Cryoglobulins present,crygolobulcs peset,NO return
Cryoglobulins present,crsyoglobuilts presne,NO return
Cryoglobulinuria,cryoqobulfnuyia,NO return
Cryoglobulinuria,cryoobulinrua,NO return
Cryoglobulinuria,ryoglkobluifuria,NO return
Cryoglobulinuria,cryclguolinuria,NO return
Cryoglobulinuria,cryogaqobslnuria,NO return
Cryoglobulin urine present,cryoglobpig urike rpesenbt,NO return
Cryoglobulin urine present,croyegobulin ruine presnetj,NO return
Cryoglobulin urine present,tcryoglulin urnie pressenct,NO return
Cryoglobulin urine present,rcyoglorbulit ursine prrsient,NO return
Cryoglobulin urine present,rcogiobulin urien upresdent,NO return
Cryotherapy,crythtkrapy,NO return
Cryotherapy,coyoterapny,NO return
Cryotherapy,qcyrothreapy,NO return
Cryotherapy,cryoohareapy,NO return
Cryotherapy,cryoehdrpay,NO return
Gastroenteritis cryptococcal,garoentsitis kcrptococal,NO return
Gastroenteritis cryptococcal,gsatproectritis cryplotcocca,NO return
Gastroenteritis cryptococcal,aqtroenterwzis crypocvqcal,NO return
Gastroenteritis cryptococcal,astreovnteriis cqrypotcogcal,NO return
Gastroenteritis cryptococcal,gystroneteriit crcypjoccocal,NO return
Cryptococcosis,rypccoccoss,NO return
Cryptococcosis,xcyptococosi,NO return
Cryptococcosis,rclydpotcoccosis,NO return
Cryptococcosis,rcytcccocosis,NO return
Cryptococcosis,cryptecovccoi,NO return
Cryptophthalmos,cryqotpthhalmojs,NO return
Cryptophthalmos,kcpryptophtfhalyos,NO return
Cryptophthalmos,cryophtlmos,NO return
Cryptophthalmos,rypxttpohthalmos,NO return
Cryptophthalmos,cyxptopktahlmos,NO return
Cryptorchism,crytoecsism,NO return
Cryptorchism,yrptorchismh,NO return
Cryptorchism,ryptorcis,NO return
Cryptorchism,cryptorcsy,NO return
Cryptorchism,crpytoehhism,NO return
Cryptosporidiosis infection,crmeyptospordiosi inecion,NO return
Cryptosporidiosis infection,cryptospcxidifoss infencsion,NO return
Cryptosporidiosis infection,crypteosporiihiss nifectuion,NO return
Cryptosporidiosis infection,cryxjsporidiosbis iwnfectiow,NO return
Cryptosporidiosis infection,cryptqompoirdiolis infetcitn,NO return
Crystalluria,cbrymtasluria,NO return
Crystalluria,crysatllurym,NO return
Crystalluria,rystallurwi,NO return
Crystalluria,crysaltlurai,NO return
Crystalluria,crystalxlia,NO return
Crystal urine absent,crrysal urwne abnst,NO return
Crystal urine absent,wrystla urie bvasent,NO return
CSF culture negative,sf custute negatiesv,NO return
CSF electrophoresis,cfs leqctroporeis,NO return
CSF electrophoresis,csx eleahrnophoressi,NO return
CSF electrophoresis,cwsf elecrohkooresis,NO return
CSF electrophoresis,ccsf elcotrophoesbs,NO return
CSF electrophoresis,csk ezetropqhoreis,NO return
CSF electrophoresis abnormal,wsf lcetrophoetrsis abnorvl,NO return
CSF electrophoresis abnormal,sf edlectrophoersmisq abnormle,NO return
CSF electrophoresis abnormal,cs elecjtbrvorhoresis banorml,NO return
CSF electrophoresis abnormal,sf cpelectophorsis bnodmal,NO return
CSF electrophoresis abnormal,cf lectroporesidws rabnzrmal,NO return
CSF electrophoresis normal,csr uylcetrophorsis momral,NO return
CSF electrophoresis normal,cs eilecrophoceis noormla,NO return
CSF electrophoresis normal,wcsf eectrohporeshih nlrmau,NO return
CSF electrophoresis normal,sf eletcrophoein wnfrmal,NO return
CSF electrophoresis normal,cf ejectrophozessc anfrmal,NO return
CSF glucose,sf glcruose,NO return
CSF glucose abnormal,scf gluceo anborma,NO return
CSF glucose decreased,scf glose egdcreased,NO return
CSF glucose normal,cnsf glusce ownrmal,NO return
CSF granulocyte count,cszf rkunlocyte cunt,NO return
CSF granulocyte count,cfs grgulocyt counm,NO return
CSF granulocyte count,clsf ganuloctyi counf,NO return
CSF granulocyte count,cxf granflocytxj cout,NO return
CSF granulocyte count,scf rgranulocytgv tcount,NO return
CSF granulocyte count abnormal,csy ranvuloycte coupnt abonrmla,NO return
CSF granulocyte count abnormal,cusf rganuylocte uount abnroal,NO return
CSF granulocyte count abnormal,mcsf ogranuoblcyte conut banorma,NO return
CSF granulocyte count abnormal,sf gnrulicyte cout banoraml,NO return
CSF granulocyte count abnormal,cf granulorcltye cout asnorml,NO return
CSF granulocyte count normal,sf grlnulbocyhe cocnt nocrml,NO return
CSF granulocyte count normal,wcsf graaulocryt coun orual,NO return
CSF granulocyte count normal,cscf rgaunlcyte ount normx,NO return
CSF granulocyte count normal,cs raulrcyte cuont noramv,NO return
CSF granulocyte count normal,dcsf granuoloycet conut nomrla,NO return
CSF lactate dehydrogenase,cbf alacmtate ydeeydrgoenase,NO return
CSF lactate dehydrogenase,sf alccate delydrokgenasne,NO return
CSF lactate dehydrogenase,cfs lacaete dnydrogenise,NO return
CSF lactate dehydrogenase,cuf latctae deydrogneaste,NO return
CSF lactate dehydrogenase,cf jctate sehyrogease,NO return
CSF lactate dehydrogenase decreased,cuf lactaep dehdyrogenssae dcrease,NO return
CSF lactate dehydrogenase decreased,sf lacdtaate dehydgrooenasd decraeed,NO return
CSF lactate dehydrogenase decreased,cfs lazcate dehwdrgoenaswe ldcereased,NO return
CSF lactate dehydrogenase decreased,csw alctaet xdeydrogenas decesed,NO return
CSF lactate dehydrogenase decreased,cfs laoctatie dehrdogease decreavd,NO return
CSF lactate dehydrogenase increased,cfs laatte dehydcrogehse incrasde,NO return
CSF lactate dehydrogenase increased,sf lactsat dehyfdrogyebase increaksd,NO return
CSF lactate dehydrogenase increased,wcsf acttae fdehydrozenane ncreasde,NO return
CSF lactate dehydrogenase increased,cqsf laxate dehydogeunaes increlaoed,NO return
CSF lactate dehydrogenase increased,cfs laictqate dehdrojnease inqrelsed,NO return
CSF lactate dehydrogenase normal,cf vlatcate dehydrogaees noyrmql,NO return
CSF lactate dehydrogenase normal,csy agctate dedroogenase nomrafl,NO return
CSF lactate dehydrogenase normal,ssf lacaee dekhydzrogense ormanl,NO return
CSF lactate dehydrogenase normal,osf acatte dehydrigfogenase noormae,NO return
CSF lactate dehydrogenase normal,sf lzajtate demydrogeawe rmal,NO return
CSF oligoclonal band,sf olgioclpal bandw,NO return
CSF oligoclonal band,sf olcigocolmal abnd,NO return
CSF oligoclonal band,zcsf olioclonlaq badn,NO return
CSF oligoclonal band,scf oligwoclosnkl bad,NO return
CSF oligoclonal band,scf olitgoclonmla bnd,NO return
CSF oligoclonal band absent,hcsf olidgocllfonal banpd basnet,NO return
CSF oligoclonal band absent,sf kjligoelonal bad abint,NO return
CSF oligoclonal band absent,sf olligclnoal bnd pbasent,NO return
CSF oligoclonal band absent,csfy oklioclonsal bandj abserpnt,NO return
CSF oligoclonal band absent,czsf iolgoclonl bandv ajseut,NO return
CSF oligoclonal band present,cesf olioclxoanl badn vresetn,NO return
CSF oligoclonal band present,cfs ollipcolonal zband przespnt,NO return
CSF oligoclonal band present,cfs ovigocloall blnd presacnt,NO return
CSF oligoclonal band present,ssf oliygoclolnl ban prvesetn,NO return
CSF oligoclonal band present,cusf wolgicolonal brnd pcesetn,NO return
CSF protein normal,sf rpotemn norlm,NO return
CSF specific gravity decreased,cf spiefic gzvity dcereasd,NO return
Culture stool negative,cultree stjool negavte,NO return
Culture stool positive,clxuture sgtool dosiitve,NO return
Culture throat positive,culrte thraota poisrtive,NO return
Culture urine,culrte urinew,NO return
Culture urine negative,uclure urnie negavte,NO return
Culture wound negative,culuetre wuond wegtaive,NO return
Culture wound positive,cutqlure owund positi,NO return
Cutaneous amyloidosis,cubtanoeus amylaoituosis,NO return
Cutaneous amyloidosis,cstaneou amqlpdosis,NO return
Cutaneous amyloidosis,cutanus amyzolidodis,NO return
Cutaneous amyloidosis,ctanneous kyloiosis,NO return
Cutaneous amyloidosis,cutnoeus asyoloidospis,NO return
Cutaneous leishmaniasis,cutneou lbeishmvaniassi,NO return
Cutaneous leishmaniasis,ucutaeous seishmraniassi,NO return
Cutaneous leishmaniasis,cutkaneuos lesvhmapniasis,NO return
Cutaneous leishmaniasis,cvutnaeous elisdhmaniausis,NO return
Cutaneous leishmaniasis,cutaneotsu leihmniasi,NO return
Cutaneous sarcoidosis,cutaeouhs sarcoiodkszs,NO return
Cutaneous sarcoidosis,ctaneoks rcoidosrs,NO return
Cutaneous sarcoidosis,cuutneous sarczadsois,NO return
Cutaneous sarcoidosis,cutaneuso sareodiossi,NO return
Cutaneous sarcoidosis,sutaenous sarogiosis,NO return
Cutaneous sporotrichosis,uctanecus spodotricohnif,NO return
Cutaneous sporotrichosis,cutanes spootsrihcmsis,NO return
Cutaneous sporotrichosis,cuahneous spokrorichscs,NO return
Cutaneous sporotrichosis,cuptnaeous psorovrtichsois,NO return
Cutaneous sporotrichosis,gutaenous poroitvchosis,NO return
Cutaneous tuberculosis,guaneous tuwerculoddis,NO return
Cutaneous tuberculosis,utaneou tuberxuclsois,NO return
Cutaneous tuberculosis,utanous ubreculossi,NO return
Cutaneous tuberculosis,cutaneok tubercumxis,NO return
Cutaneous tuberculosis,ctaneout tubvercbuloris,NO return
Cycloplegia,cydicloplsgia,NO return
Cycloplegia,cycloplieigk,NO return
Cycloplegia,cyplopeegai,NO return
Cycloplegia,ycloplxia,NO return
Cycloplegia,cyclupleign,NO return
Cycloplegic refraction,yclelplegic rfracton,NO return
Cycloplegic refraction,cclorlegi erfcaction,NO return
Cycloplegic refraction,cclyopleic reractoin,NO return
